smiles,c_index,x_index
I[C:6]1=[C:5]([C:1]([F:2])([F:3])[F:4])[CH:7]=[CH:9][CH:10]=[CH:8]1,1,0
Br[C:1]1=[C:2]2[N:4]3[C:7](=[CH:9][C:5]2=[CH:10][C:6]([C:11]#[N:14])=[CH:3]1)[C:12](=[O:15])[NH:16][CH2:17][CH2:13][CH2:8]3,1,0
Br[C:19]1=[CH:15][CH:9]=[C:4]([N:1]([C:2]2=[CH:5][CH:11]=[C:17]([C:20]3=[CH:22][CH:26]=[CH:30][CH:27]=[CH:23]3)[CH:12]=[CH:6]2)[C:3]2=[CH:7][CH:13]=[C:18]([C:21]3=[CH:24][CH:28]=[CH:31][CH:29]=[CH:25]3)[CH:14]=[CH:8]2)[CH:10]=[CH:16]1,1,0
Cl[C:21]1=[CH:23][CH:25]=[CH:27][C:24]([C:26]2=[N:29][C:31]([C:34]3=[CH:37][CH:41]=[CH:44][CH:42]=[CH:38]3)=[CH:32][C:30]([C:33]3=[CH:35][CH:39]=[CH:43][CH:40]=[CH:36]3)=[N:28]2)=[CH:22]1,1,0
Br[C:1]1=[C:2]2[N:4]3[C:7](=[C:9]([CH3:14])[C:5]2=[CH:10][C:6]([Cl:11])=[CH:3]1)[C:12](=[O:15])[NH:16][CH2:13][CH2:8]3,1,0
Br[C:12]1=[CH:10][C:8]2=[C:6]([CH:4]=[C:3]([O:1][CH3:2])[CH:5]=[CH:7]2)[CH:9]=[CH:11]1,1,0
Br[C:1]1=[C:2]2[N:4]3[C:7](=[C:9]([CH3:14])[C:5]2=[CH:10][C:6]([F:11])=[CH:3]1)[C:12](=[O:15])[NH:16][CH2:13][CH2:8]3,1,0
I[C:11]1=[CH:8][C:6]([CH3:5])=[C:7]([CH3:9])[CH:10]=[CH:12]1,1,0
Cl[C:17]1=[N:19][C:22]([Cl:26])=[N:24][C:20]2=[C:18]1[CH:21]=[C:25]([O:28][CH3:30])[C:27]([O:29][CH3:31])=[CH:23]2,1,0
Br[C:9]1=[C:10]([Cl:12])[CH:13]=[CH:15][CH:14]=[CH:11]1,1,0
Cl[C:9]1=[CH:11][CH:14]=[CH:15][C:12]2=[C:10]1[CH:13]=[CH:17][CH:18]=[CH:16]2,1,0
Br[C:14]1=[CH:16][CH:18]=[CH:19][C:17]([C:20]2=[CH:21][CH:23]=[CH:25][CH:24]=[CH:22]2)=[CH:15]1,1,0
Br[C:1]1=[C:2]2[N:4]3[C:7](=[C:9]([CH3:14])[C:5]2=[CH:10][C:6]([C:11]#[N:15])=[CH:3]1)[C:12](=[O:16])[NH:17][CH2:13][CH2:8]3,1,0
Br[C:1]1=[C:2]2[N:4]3[C:7](=[CH:9][C:5]2=[CH:10][C:6]([C:11]#[N:14])=[CH:3]1)[C:12](=[O:15])[NH:16][CH2:13][CH2:8]3,1,0
Br[C:14]1=[C:12]([C:9]([O:10][CH3:13])=[O:11])[CH:15]=[CH:17][CH:18]=[CH:16]1,1,0
Br[C:5]1=[C:6]([NH2:8])[CH:9]=[CH:11][C:10]([CH3:12])=[CH:7]1,1,0
Br[C:34]1=[CH:35][C:37]2=[C:40]3[C:42](=[C:44]4[C:41](=[C:39]2[CH:38]=[CH:36]1)[CH:45]=[CH:49][CH:51]=[CH:48]4)[CH:46]=[CH:50][CH:47]=[CH:43]3,1,0
Br[C:1]1=[CH:3][CH:5]=[C:4](Br)[S:2]1,1,0
Br[C:23]1=[CH:19][C:16]([O:18][CH3:22])=[C:15]([O:13][CH3:14])[C:17]([O:20][CH3:24])=[CH:21]1,1,0
Br[C:10]1=[C:11](Br)[CH:13]=[CH:15][CH:14]=[CH:12]1,1,0
Br[C:21]1=[CH:14][CH:7]=[C:3]([N:1]([C:2]2=[CH:6][CH:13]=[CH:18][C:11]3=[C:5]2[CH:12]=[CH:20][CH:23]=[CH:19]3)[C:4]2=[CH:9][CH:16]=[CH:22][CH:17]=[CH:10]2)[CH:8]=[CH:15]1,1,0
Br[C:41]1=[CH:43][CH:42]=[CH:40][C:37]([C:34]([O:35][CH3:38])=[O:36])=[CH:39]1,1,0
Br[C:20]1=[CH:18][C:16]([O:14][CH3:15])=[CH:17][C:19]([O:21][CH3:23])=[CH:22]1,1,0
Cl[C:9]1=[CH:10][CH:12]=[CH:13][S:11]1,1,0
Br[C:1]1=[N:3][CH:5]=[CH:6][CH:4]=[N:2]1,1,0
Br[C:21]1=[CH:23][CH:25]=[C:27]2[C:24](=[CH:22]1)[C:26]1([C:28]3=[CH:32][CH:38]=[CH:43][CH:37]=[C:31]23)[C:29]2=[CH:34][CH:40]=[CH:44][CH:39]=[C:33]2[C:35]2=[CH:41][CH:45]=[CH:42][CH:36]=[C:30]12,1,0
Br[C:21]1=[CH:23][CH:25]=[C:27]2[C:24](=[CH:22]1)[C:26]([C:29]1=[CH:33][CH:39]=[CH:44][CH:40]=[CH:34]1)([C:30]1=[CH:35][CH:41]=[CH:45][CH:42]=[CH:36]1)[C:28]1=[CH:32][CH:38]=[CH:43][CH:37]=[C:31]21,1,0
Br[C:42]1=[CH:43][CH:45]=[C:47]([C:48]2=[C:49]3[C:51](=[CH:55][CH:53]=[CH:50]2)[C:54]2=[CH:57][CH:59]=[CH:60][CH:58]=[C:56]2[S:52]3)[CH:46]=[CH:44]1,1,0
Cl[C:17]1=[C:12]2[S:6][C:3]([NH:1][N:2]3[C:4]([C:9]4=[CH:14][CH:19]=[CH:24][CH:20]=[CH:15]4)=[N:8]/[C:11](=[CH:16]/[C:21]4=[CH:25][CH:28]=[CH:30][CH:29]=[CH:26]4)[C:5]3=[O:10])=[N:7][C:13]2=[CH:18][CH:23]=[C:22]1[F:27],1,0
